"message_id","date","chat.id","chat.type","from.id","from.username","from.first_name","text"
"4305","17/11/2024, 11:19:10 am","5928914069","private","5928914069","Virochan27","Virochan","Admin Virochana@01SU22AI000"
"4311","17/11/2024, 11:19:37 am","5928914069","private","5928914069","Virochan27","Virochan","Yes"
"4320","17/11/2024, 11:49:21 am","5928914069","private","5928914069","Virochan27","Virochan","Hello"
"4326","17/11/2024, 11:56:47 am","5928914069","private","5928914069","Virochan27","Virochan","Hello"
"4332","17/11/2024, 11:57:06 am","5928914069","private","5928914069","Virochan27","Virochan","Yes"
"4335","17/11/2024, 11:58:04 am","5928914069","private","5928914069","Virochan27","Virochan","Hello"
"4337","17/11/2024, 11:58:16 am","5928914069","private","5928914069","Virochan27","Virochan","Next ann class"
"4339","17/11/2024, 11:58:24 am","5928914069","private","5928914069","Virochan27","Virochan","Ann next class"
"4345","17/11/2024, 12:01:31 pm","5928914069","private","5928914069","Virochan27","Virochan","Yes"
"4353","17/11/2024, 12:15:01 pm","5928914069","private","5928914069","Virochan27","Virochan","Yes"
"4360","17/11/2024, 12:18:26 pm","5928914069","private","5928914069","Virochan27","Virochan","Hello"
"4364","17/11/2024, 12:18:43 pm","5928914069","private","5928914069","Virochan27","Virochan","Jjj"
"4372","17/11/2024, 12:19:02 pm","5928914069","private","5928914069","Virochan27","Virochan","Ok"
"4380","17/11/2024, 12:19:29 pm","5928914069","private","5928914069","Virochan27","Virochan","Yes"
"4385","17/11/2024, 12:20:25 pm","5928914069","private","5928914069","Virochan27","Virochan","Yes"
"4390","17/11/2024, 12:22:08 pm","5928914069","private","5928914069","Virochan27","Virochan","Yes"
"4394","17/11/2024, 12:23:09 pm","5928914069","private","5928914069","Virochan27","Virochan","Hello friends"
"4400","17/11/2024, 12:23:32 pm","5928914069","private","5928914069","Virochan27","Virochan","Yes"
"4408","17/11/2024, 12:26:18 pm","5928914069","private","5928914069","Virochan27","Virochan","Yes"
"4416","17/11/2024, 12:27:09 pm","5928914069","private","5928914069","Virochan27","Virochan","Yes"
"4424","17/11/2024, 12:27:49 pm","5928914069","private","5928914069","Virochan27","Virochan","Yes"
"4429","17/11/2024, 12:28:27 pm","6562925416","private","6562925416","Virochan2004","Virochan","Yes"
"4437","17/11/2024, 12:30:40 pm","6562925416","private","6562925416","Virochan2004","Virochan","Yes"
"4445","17/11/2024, 12:31:11 pm","6562925416","private","6562925416","Virochan2004","Virochan","Yes"
"4455","17/11/2024, 12:39:32 pm","6562925416","private","6562925416","Virochan2004","Virochan","Nothing"
"4459","17/11/2024, 12:41:20 pm","6562925416","private","6562925416","Virochan2004","Virochan","Hello"
"4467","17/11/2024, 12:41:50 pm","6562925416","private","6562925416","Virochan2004","Virochan","Just checking"
"4477","17/11/2024, 1:15:36 pm","6562925416","private","6562925416","Virochan2004","Virochan","When are we having exams?"
"4487","17/11/2024, 1:16:59 pm","5928914069","private","5928914069","Virochan27","Virochan","Yes"
"4498","17/11/2024, 1:19:55 pm","5928914069","private","5928914069","Virochan27","Virochan","Hello"
"4508","17/11/2024, 1:21:11 pm","6562925416","private","6562925416","Virochan2004","Virochan","Yes"
"4519","17/11/2024, 1:23:40 pm","5928914069","private","5928914069","Virochan27","Virochan","Hello when is our exams starting"
"4529","17/11/2024, 1:24:53 pm","6562925416","private","6562925416","Virochan2004","Virochan","Yes"
